prefix,name,questrade_symbol_id
TWX,Time Warner Inc.,38754
TJX,TJX Companies Inc.,37945
TMK,Torchmark Corp.,38888
TSS,Total System Services,39077
TSCO,Tractor Supply Company,39110
TDG,TransDigm Group,39231
RIG,Transocean,45014
TRIP,TripAdvisor,1379827
FOXA,Twenty-First Century Fox Class A,3954451
FOX,Twenty-First Century Fox Class B,3954452
TSN,Tyson Foods,39658
UDR,UDR Inc,39694
ULTA,Ulta Salon Cosmetics & Fragrance Inc,39828
USB,U.S. Bancorp,39722
UA,Under Armour,15926070
UAA,Under Armour,15926069
UNP,Union Pacific,39931
UAL,United Continental Holdings,39990
UNH,United Health Group Inc.,40121
UPS,United Parcel Service,40041
URI,"United Rentals, Inc.",40047
UTX,United Technologies,40111
UHS,"Universal Health Services, Inc.",40174
UNM,Unum Group,40188
URBN,Urban Outfitters,40237
VFC,V.F. Corp.,40293
VLO,Valero Energy,40359
VAR,Varian Medical Systems,40490
VTR,Ventas Inc,40549
VRSN,Verisign Inc.,40610
VRSK,Verisk Analytics,40613
VZ,Verizon Communications,40611
VRTX,Vertex Pharmaceuticals Inc,40642
VIAB,Viacom Inc.,40667
V,Visa Inc.,40825
VNO,Vornado Realty Trust,40963
VMC,Vulcan Materials,40990
WMT,Wal-Mart Stores,41084
WBA,Walgreens Boots Alliance,8531079
DIS,The Walt Disney Company,16142
WM,Waste Management Inc.,41163
WAT,Waters Corporation,41188
WEC,Wec Energy Group Inc,10355378
WFC,Wells Fargo,41279
HCN,Welltower Inc.,11373771
WDC,Western Digital,41557
WU,Western Union Co,41603
WRK,WestRock Company,10308253
WY,Weyerhaeuser Corp.,41689
WHR,Whirlpool Corp.,41697
WFM,Whole Foods Market,41750
WMB,Williams Cos.,41794
WLTW,Willis Towers Watson,12370534
WYN,Wyndham Worldwide,42213
WYNN,Wynn Resorts Ltd,42216
XEL,Xcel Energy Inc,42245
XRX,Xerox Corp.,42283
XLNX,Xilinx Inc,42257
XL,XL Capital,14571061
XYL,Xylem Inc.,1256535
YHOO,Yahoo Inc.,42349
YUM,Yum! Brands Inc,42456
ZBH,Zimmer Biomet Holdings,42567
ZION,Zions Bancorp,42581
ZTS,Zoetis,3294852
